mcq_no,selected_option,selected_label,computed_value,notes
1,C,180,144.0,Gia tri tinh duoc la 144.0 ngay; dap an gan nhat trong bo lua chon la 180.
2,D,Standard,Standard,Match exact from grouped average margin ratio.
3,B,wrong_size,wrong_size,Match exact from return counts after joining returns to products.
4,C,email_campaign,0.004458,Top source is email_campaign with average bounce_rate 0.004458.
5,C,39%,38.663493,"Gia tri tinh duoc la 38.663493%, gan nhat voi 39%."
6,A,55+,55+,Computed as total orders divided by number of customers in each non-null age group.
7,C,East,East,"sales.csv khong co region, nen doanh thu vung duoc tai dung tu orders + order_items + geography; East dung dau cho ca gross va net."
8,A,credit_card,credit_card,Match exact from cancelled order counts.
9,A,S,0.056515,Top size is S with return-rate 0.056515 using row-count formula from the brief.
10,C,6,24446.654403,Highest average payment_value belongs to installments=6.
