feature,split_importance
aux_conversion_order_per_session_doy_mean,393
aux_net_item_sales_doy_mean,309
aux_desktop_share_doy_mean,262
aux_conversion_order_per_session_month_dow_mean,254
aux_unique_customers_year1,196
aux_paid_search_share_doy_mean,194
aux_region_share_central_year1,192
aux_shipments_doy_mean,191
aux_order_count_doy_mean,190
aux_shipping_fee_doy_mean,186
aux_order_count_year1,180
aux_desktop_share_year1,177
aux_social_media_share_year1,170
aux_units_year1,170
aux_region_share_central_doy_mean,167
aux_units_per_order_year1,166
aux_region_share_west_year1,158
aux_cat_share_genz_lag548,158
aux_cat_share_outdoor_year1,154
aux_units_doy_mean,154
aux_mobile_share_month_dow_mean,151
aux_avg_product_margin_rate_month_dow_mean,149
aux_avg_session_duration_sec_roll30_548,145
aux_avg_product_margin_rate_year1,144
aux_avg_rating_doy_mean,144
aux_cat_share_casual_doy_mean,143
aux_region_share_west_doy_mean,138
aux_bounce_rate_doy_mean,137
aux_shipments_lag548,137
aux_avg_rating_year1,135
aux_avg_session_duration_sec_doy_mean,134
aux_cat_share_genz_doy_mean,132
aux_conversion_order_per_session_year1,131
aux_avg_installments_doy_mean,129
aux_delivered_status_share_doy_mean,128
aux_cat_share_genz_year1,125
aux_avg_installments_year1,124
aux_avg_rating_roll30_548,124
aux_avg_product_margin_rate_doy_mean,121
aux_mobile_share_doy_mean,120
aux_credit_card_share_doy_mean,120
aux_returned_status_share_roll30_548,120
aux_region_share_east_doy_mean,118
aux_units_per_order_doy_mean,117
aux_units_per_order_lag548,117
aux_paid_search_share_year1,117
aux_social_media_share_lag730,116
aux_bounce_rate_month_dow_mean,115
aux_returned_status_share_roll30_730,115
aux_credit_card_share_lag548,115
aux_return_qty_per_order_doy_mean,115
aux_social_media_share_doy_mean,114
aux_avg_session_duration_sec_month_dow_mean,114
aux_avg_unit_price_year1,114
aux_region_share_central_roll30_548,113
aux_conversion_order_per_session_roll30_548,112
aux_ship_days_mean_year1,112
aux_social_media_share_roll30_548,112
aux_refund_per_order_month_dow_mean,110
aux_organic_search_share_lag548,110
