feature,imp_mean,imp_std
seasonal_doy_mean,0.7456666662739752,0.03560957250697491
seasonal_month_dow_mean,0.0522203290999627,0.0072870005074412315
rev_lag_365_730_mean,0.028571727197414763,0.008359672828942758
rev_lag_548,0.019797402355226777,0.003912688170770615
is_aug_even,0.012409136203522065,0.002496132793605994
days_to_tet,0.01159365082328163,0.0028489004147343564
rev_roll30_end_730d_ago,0.010194400997067676,0.0012310840405239847
rev_roll7_end_730d_ago,0.009618576463078421,0.0045890708036898775
seasonal_month_parity_mean,0.007288739228050556,0.001261626808161796
dow_sin,0.005086164339048005,0.002481197336818131
dow_cos,0.003634469528358908,0.0015917897109645855
dow,0.003448504996295387,0.0007995746916591172
rev_roll7_end_548d_ago,0.0034163543574704082,0.0013134239479878752
rev_roll7_end_365d_ago,0.0015244489486555767,0.0026598699881522276
doy,0.001493377048847422,0.0009609756207822302
week,0.0007755356130499935,0.0005132488126396644
is_vn_holiday,0.0006743652515505793,0.0005274445597899853
month_cos,0.000668349694425241,0.0003419552387036086
seasonal_month_mean,0.0003143238817880256,0.00023321029919823062
day,0.00029979628476219935,0.005043894082743448
is_month_end,2.4507853552990787e-05,1.2257894881945438e-05
is_month_start,3.7678326213930193e-06,2.5008254531300352e-05
is_national,0.0,0.0
quarter,0.0,0.0
log_seasonal_doy_mean,0.0,0.0
log_seasonal_month_dow_mean,0.0,0.0
log_seasonal_month_parity_mean,0.0,0.0
level_ratio_12m,0.0,0.0
is_aug_odd,0.0,0.0
is_reunification,0.0,0.0
is_labor,0.0,0.0
is_tet_week,0.0,0.0
is_new_year,0.0,0.0
year,0.0,0.0
is_weekend,0.0,0.0
log_rev_lag_365,0.0,0.0
log_rev_lag_548,0.0,0.0
log_rev_lag_730,0.0,0.0
is_even_year,0.0,0.0
regime_recent,0.0,0.0
log_seasonal_week_mean,0.0,0.0
log_seasonal_month_mean,0.0,0.0
log_rev_lag_365_730_mean,0.0,0.0
rev_roll30_end_365d_ago,-1.2650767098332238e-06,0.0008232264301635244
rev_roll30_end_548d_ago,-0.00017720012413882102,0.0007142021249570605
month_sin,-0.00024383617230070432,0.0002557071975078853
doy_cos,-0.0003412093806197003,0.0011828929947741845
month,-0.0005359431252191405,0.00044482601760410687
abs_days_to_tet,-0.0006896125769860761,0.001741819283558223
rev_roll90_end_730d_ago,-0.0013777196565187833,0.0010463828900664895
seasonal_week_mean,-0.0020518914992092795,0.001372960271706379
rev_roll90_end_548d_ago,-0.002060931334377081,0.002747621957450814
doy_sin,-0.0021088978979794115,0.0005711348043551977
rev_lag_730,-0.0027653250722611046,0.0020675911501231332
rev_lag_365,-0.008953456038441599,0.0026596917394209095
rev_roll90_end_365d_ago,-0.025804214102501978,0.008021300827903437
