fold,baseline,rmse,mae,mape,bias,log_resid_std,log_resid_mad
fold1_2020H2-2021,baseline_anchor,955871.0721679407,720296.7191712204,0.3212584389013692,328581.0234881603,0.31619027504520264,0.2547502172988868
fold1_2020H2-2021,baseline_consensus,867917.8469472771,609156.1903322729,0.24683836674489026,-166828.0483253429,0.2980934391870813,0.2340592697057986
fold1_2020H2-2021,baseline_lookup,1326481.8646150345,876814.9700367895,0.35814149151398883,-258174.4447029344,0.4538140527105079,0.34237473988814604
fold1_2020H2-2021,baseline_mean2y,955871.0721679407,720296.7191712204,0.3212584389013692,328581.0234881603,0.31619027504520264,0.2547502172988868
fold1_2020H2-2021,direct_log_target,,,,,0.5463658998184203,0.4357768509373461
fold2_2021H2-2022,baseline_anchor,941474.2419615706,676345.9810928962,0.2556496210628792,-124779.88806921677,0.3503211734923588,0.25882139194490494
fold2_2021H2-2022,baseline_consensus,906590.1503316177,663338.4596010637,0.2551353712536114,-131249.70144695748,0.313558285189232,0.2433331218878445
fold2_2021H2-2022,baseline_lookup,1274436.4556573448,876258.485445411,0.33243578469925733,-228766.03679318618,0.4124701691284478,0.31468293085211013
fold2_2021H2-2022,baseline_mean2y,941474.2419615706,676345.9810928962,0.2556496210628792,-124779.88806921677,0.3503211734923588,0.25882139194490494
fold2_2021H2-2022,direct_log_target,,,,,0.5191179054855167,0.4228430695999252
fold3_test_proxy,baseline_anchor,991869.7332112682,719878.7173424658,0.23484797587462375,-332035.8767671233,0.3336270626159795,0.24290280826941996
fold3_test_proxy,baseline_consensus,1011068.7446881799,715412.0061973763,0.23347011951058624,-354846.09770639916,0.3037386783040273,0.22800435821068518
fold3_test_proxy,baseline_lookup,1379948.7181855035,921700.4409696748,0.30236115884711035,-359291.5326248445,0.3879824486175592,0.2892366321925613
fold3_test_proxy,baseline_mean2y,991869.7332112682,719878.7173424658,0.23484797587462375,-332035.8767671233,0.3336270626159795,0.24290280826941996
fold3_test_proxy,direct_log_target,,,,,0.5247266675718313,0.426740403163279
