model,pred,fold,start,end,n,rmse,mae,mape,bias
xgb_no_lag_residual,prediction_calibrated,fold1_2020H2-2021,2020-07-01,2021-12-31,549,740651.3858140117,540303.7788642888,0.2244100611039462,-134045.71322839285
xgb_no_lag_residual_no_marketing,prediction_calibrated,fold1_2020H2-2021,2020-07-01,2021-12-31,549,742667.7413923553,540152.9582045729,0.22244466829495968,-153031.66838190582
xgb_no_lag,prediction_calibrated,fold1_2020H2-2021,2020-07-01,2021-12-31,549,760574.2900952017,550657.9522509457,0.23260277836530865,-91293.645514659
xgb,prediction_calibrated,fold1_2020H2-2021,2020-07-01,2021-12-31,549,832893.3372811679,610039.4352931727,0.26769414794348845,-40994.844810478986
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,fold1_2020H2-2021,2020-07-01,2021-12-31,549,947598.8408573237,667080.6627957517,0.24147603217177604,-433017.2024636739
xgb_no_lag,prediction_calibrated,fold2_2021H2-2022,2021-07-01,2022-12-31,549,772823.9848390922,562426.8518480707,0.2163776130454193,-96069.65402733904
xgb,prediction_calibrated,fold2_2021H2-2022,2021-07-01,2022-12-31,549,796878.8557417884,578948.1793375871,0.2264418337029782,-19998.150622151617
xgb_no_lag_residual_no_marketing,prediction_calibrated,fold2_2021H2-2022,2021-07-01,2022-12-31,549,827457.0492319815,583057.4258665815,0.2316712587274873,31621.521089029007
xgb_no_lag_residual,prediction_calibrated,fold2_2021H2-2022,2021-07-01,2022-12-31,549,832573.440850995,586723.1686719361,0.23091243530112499,13011.421912092135
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,fold2_2021H2-2022,2021-07-01,2022-12-31,549,902613.9144003771,662521.3878341577,0.28652548764740093,269749.8721695958
xgb_no_lag,prediction_calibrated,fold3_test_proxy,2022-01-01,2022-12-31,365,834255.3880745854,597861.4455977625,0.21625447081569707,-35523.766932872364
xgb,prediction_calibrated,fold3_test_proxy,2022-01-01,2022-12-31,365,848881.2511835565,623675.9858719782,0.21429681111615112,-220524.7175513514
xgb_no_lag_residual_no_marketing,prediction_calibrated,fold3_test_proxy,2022-01-01,2022-12-31,365,855549.942659431,603360.5786838535,0.2143783379463937,-92443.8583899041
xgb_no_lag_residual,prediction_calibrated,fold3_test_proxy,2022-01-01,2022-12-31,365,858572.270354314,604247.5388558587,0.2159392884738036,-102335.39064554329
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,fold3_test_proxy,2022-01-01,2022-12-31,365,956063.6301026503,689896.1832084358,0.27226013724991255,154224.78560461008
xgb_no_lag,prediction_raw,fold1_2020H2-2021,2020-07-01,2021-12-31,549,832796.648423927,597767.3723315118,0.23433140481084216,-252058.27080145717
xgb,prediction_raw,fold1_2020H2-2021,2020-07-01,2021-12-31,549,880399.5384691516,633303.3650819672,0.2625751631743477,-134573.13856102002
xgb_no_lag_residual,prediction_raw,fold1_2020H2-2021,2020-07-01,2021-12-31,549,904469.4083417979,632860.8529221199,0.22672004131164983,-419240.42805739393
xgb_no_lag_residual_no_marketing,prediction_raw,fold1_2020H2-2021,2020-07-01,2021-12-31,549,910415.8722381226,638891.4055431316,0.22830334581085324,-433186.40373366117
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,fold1_2020H2-2021,2020-07-01,2021-12-31,549,1306861.6217374094,1003551.3237099419,0.3437002986792752,-966411.4037236929
xgb,prediction_raw,fold2_2021H2-2022,2021-07-01,2022-12-31,549,794124.2009852121,578060.2732604735,0.22036447841408624,-122880.1066666667
xgb_no_lag,prediction_raw,fold2_2021H2-2022,2021-07-01,2022-12-31,549,796528.8071567588,579248.474899818,0.212579005000846,-218166.90065573773
xgb_no_lag_residual_no_marketing,prediction_raw,fold2_2021H2-2022,2021-07-01,2022-12-31,549,852787.9622595306,613253.9828244521,0.2273957555589441,-256113.79732874193
xgb_no_lag_residual,prediction_raw,fold2_2021H2-2022,2021-07-01,2022-12-31,549,861644.4928931657,622282.8226546469,0.2294699999579502,-279257.03220845596
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,fold2_2021H2-2022,2021-07-01,2022-12-31,549,888184.4392864807,656994.5845705342,0.24526569973888723,-312399.04792668455
xgb_no_lag,prediction_raw,fold3_test_proxy,2022-01-01,2022-12-31,365,848868.6223707916,613423.6095890411,0.20973370120829,-143621.34663013698
xgb,prediction_raw,fold3_test_proxy,2022-01-01,2022-12-31,365,878179.3430293889,652071.3844931507,0.21752094973831745,-315849.3907945206
xgb_no_lag_residual_no_marketing,prediction_raw,fold3_test_proxy,2022-01-01,2022-12-31,365,941998.4292376147,670272.243915019,0.2162563960681203,-386328.6907466096
xgb_no_lag_residual,prediction_raw,fold3_test_proxy,2022-01-01,2022-12-31,365,953198.4527065728,680717.5058817621,0.21823391037613835,-411423.9512337092
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,fold3_test_proxy,2022-01-01,2022-12-31,365,1059481.5980200137,792701.3933112965,0.25520164856269484,-440696.18497070816
