model,pred,rmse,mae,mape,bias
xgb_no_lag,prediction_calibrated,784116.6356749793,566850.9809251834,0.22243548648818806,-79171.99342382456
xgb_no_lag_residual_no_marketing,prediction_calibrated,804066.7056820246,572022.6329970405,0.22389455726982715,-68623.49909508158
xgb_no_lag_residual,prediction_calibrated,806151.726882863,573676.1079150895,0.2247367674773222,-70950.26898036391
xgb,prediction_calibrated,823646.6013464244,601774.3918493227,0.23889199588605972,-77906.13561090737
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,933129.4721760084,671061.9498748458,0.2660613701141123,-22789.964173456025
xgb_no_lag,prediction_raw,823479.5878460986,594724.072200957,0.22003186324514193,-212286.67850307585
xgb,prediction_raw,848478.5990020612,617255.4291114148,0.2354948803052195,-175411.38706083392
xgb_no_lag_residual_no_marketing,prediction_raw,897398.1066839183,637099.9229273995,0.22495720520634493,-355048.38175377424
xgb_no_lag_residual,prediction_raw,901258.6108350974,640831.0099374491,0.22563479832146338,-364760.6615763878
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,1103165.6408731455,820899.3248151775,0.284682798945287,-589829.8328573927
