model,pred,segment,value,n,rmse,mae,mape,bias
xgb_no_lag_residual_no_marketing,prediction_calibrated,actual_bucket,q1,293,498334.58584887855,384550.37365657394,0.3398374824111179,306961.38643314975
xgb_no_lag_residual,prediction_calibrated,actual_bucket,q1,293,499135.1132350922,385820.4933462345,0.34255915848111945,313293.89286970574
xgb_no_lag,prediction_calibrated,actual_bucket,q1,293,521436.8102572924,409250.42104101885,0.3643320400155155,346488.973994488
xgb,prediction_calibrated,actual_bucket,q1,293,558320.708296576,429324.56726386683,0.38486402287867416,362415.5125774317
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,actual_bucket,q1,293,633902.3458201971,472121.5472852781,0.41412923646936617,395368.9830033571
xgb_no_lag,prediction_calibrated,actual_bucket,q2,293,484650.8840876518,359188.6353123932,0.19090516547832992,95156.2992099301
xgb_no_lag_residual,prediction_calibrated,actual_bucket,q2,293,549438.279609049,399516.7045982802,0.21294477291585043,93733.41513633753
xgb_no_lag_residual_no_marketing,prediction_calibrated,actual_bucket,q2,293,553375.4521040638,401542.6406816399,0.21399673678019387,102628.91157188737
xgb,prediction_calibrated,actual_bucket,q2,293,561497.4656596552,416624.81749631005,0.22221093190454286,118990.97811481755
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,actual_bucket,q2,293,691082.8453610988,497172.9596712588,0.2642496743121553,204865.80901847393
xgb_no_lag,prediction_calibrated,actual_bucket,q3,293,661189.7478656828,510261.4860883204,0.2031010059327764,47262.41090146051
xgb,prediction_calibrated,actual_bucket,q3,293,707908.249779819,547477.6794018804,0.2179446905075396,53385.803825714356
xgb_no_lag_residual,prediction_calibrated,actual_bucket,q3,293,724328.4232978441,552982.9210399166,0.2195492862760608,40420.24103415114
xgb_no_lag_residual_no_marketing,prediction_calibrated,actual_bucket,q3,293,727740.179433969,555668.8206904234,0.22020315611705266,48286.15185162856
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,actual_bucket,q3,293,845338.0737238636,650054.4906786176,0.25724879622359265,124449.64979902975
xgb_no_lag,prediction_calibrated,actual_bucket,q4,293,766234.2949641336,625225.2522813457,0.18213476902171788,-228587.6120281505
xgb,prediction_calibrated,actual_bucket,q4,293,782180.790240771,636635.344893675,0.18636210224983676,-215702.2906448413
xgb_no_lag_residual_no_marketing,prediction_calibrated,actual_bucket,q4,293,825145.9642436296,631428.4185869939,0.18276583702368768,-180411.951355476
xgb_no_lag_residual,prediction_calibrated,actual_bucket,q4,293,840176.826260104,637150.0641827652,0.184774025757525,-193272.89684295276
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,actual_bucket,q4,293,943938.7784038209,732239.8284530292,0.2112632144312178,-213504.41681167058
xgb_no_lag_residual_no_marketing,prediction_calibrated,actual_bucket,q5,291,1213765.206422724,889087.1744511696,0.16224878375417812,-624375.5231510411
xgb_no_lag_residual,prediction_calibrated,actual_bucket,q5,291,1213860.6475561922,895104.4062260734,0.1634381735194831,-612623.4247837258
xgb_no_lag,prediction_calibrated,actual_bucket,q5,291,1244791.050521882,932827.2413734759,0.17135578508885066,-660145.7302330916
xgb,prediction_calibrated,actual_bucket,q5,291,1287912.247224899,981400.8571210639,0.18269463213715292,-712955.4898061248
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,actual_bucket,q5,291,1369476.8223806932,1006007.2392545065,0.18284791923058757,-629269.6388778656
xgb_no_lag_residual_no_marketing,prediction_calibrated,horizon_bucket,01-30,90,651097.7560695487,456909.1099559724,0.20139598139100595,-22339.478343408457
xgb_no_lag_residual,prediction_calibrated,horizon_bucket,01-30,90,660307.3682163327,467879.60741230566,0.20482804933366527,-18097.33273725857
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,horizon_bucket,01-30,90,727445.5818566304,560696.1467533625,0.2565042122925296,253117.12677604117
xgb_no_lag,prediction_calibrated,horizon_bucket,01-30,90,728226.5206596791,518450.51889799774,0.2282681298511517,16979.008856572003
xgb,prediction_calibrated,horizon_bucket,01-30,90,728303.2832416743,496841.4314327864,0.21789008356285988,-105255.0502684539
xgb_no_lag,prediction_calibrated,horizon_bucket,121+,1103,757695.7815007487,553704.3318712608,0.2223748602765747,-72515.15942864002
xgb_no_lag_residual_no_marketing,prediction_calibrated,horizon_bucket,121+,1103,789161.1927723053,560154.1350830483,0.21994741166610865,-85759.43173038584
xgb_no_lag_residual,prediction_calibrated,horizon_bucket,121+,1103,790398.7596910186,559451.2082593517,0.22024691715516295,-84693.77554283713
xgb,prediction_calibrated,horizon_bucket,121+,1103,809912.7401471611,596725.6638042743,0.2436090390693106,-51107.57169143203
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,horizon_bucket,121+,1103,929333.8026883521,657207.4530639593,0.2598712593468261,-74963.83140448252
xgb_no_lag,prediction_calibrated,horizon_bucket,31-60,90,1025885.8630202356,783417.8613922168,0.2801982461866988,-277551.8706717717
xgb,prediction_calibrated,horizon_bucket,31-60,90,1053720.5050601005,793134.0024755279,0.2733945256220332,-350036.44479861145
xgb_no_lag_residual_no_marketing,prediction_calibrated,horizon_bucket,31-60,90,1120380.0339548688,870499.3810041087,0.3394962011625736,-65588.20248575877
xgb_no_lag_residual,prediction_calibrated,horizon_bucket,31-60,90,1129759.8300859877,884201.5112106203,0.3427887281920136,-101934.92816415036
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,horizon_bucket,31-60,90,1209446.7883713413,961299.721753177,0.38784782650799937,57547.075293953305
xgb_no_lag_residual_no_marketing,prediction_calibrated,horizon_bucket,61-90,90,896653.5269545836,628643.749013913,0.2064365991290786,-46052.87925758124
xgb_no_lag_residual,prediction_calibrated,horizon_bucket,61-90,90,910890.6322161814,640640.1032242177,0.21056340634194126,-44887.343371645045
xgb,prediction_calibrated,horizon_bucket,61-90,90,975426.8735018867,664685.2984105923,0.20246251529875067,-204503.0564346453
xgb_no_lag,prediction_calibrated,horizon_bucket,61-90,90,981371.9799574164,629645.617231949,0.193232702321342,-176728.05981710466
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,horizon_bucket,61-90,90,1016605.2966223046,755358.1335292906,0.25974349808252956,36656.02173180795
xgb_no_lag_residual,prediction_calibrated,horizon_bucket,91-120,90,604706.3787781511,476317.2578163115,0.19579249610102087,49552.83655613124
xgb_no_lag_residual_no_marketing,prediction_calibrated,horizon_bucket,91-120,90,627669.708857681,477493.3275600962,0.19662390962888926,69496.93811465075
