number,state,value,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mean_mae
0,COMPLETE,884426.9814477294,650,0.13125830316209655,8,12.374511199743695,0.7046065241548528,0.7045980821176709,0.2904180608409973,2.1423021757741068,0.3849583075868115,644717.078500786
1,COMPLETE,887708.8510133809,950,0.010573268083515799,10,16.816410175208013,0.7243186887373967,0.7136387385224853,0.9170225492671691,0.0033205591037519565,0.18071456341395586,647995.7345403265
2,COMPLETE,887416.3758785295,700,0.022004527434741072,7,3.6503833523887947,0.7522506269873264,0.7782266451527922,2.28034992108518,0.8431013932082461,0.007224419004573213,647236.4589056275
3,COMPLETE,921155.5446793024,750,0.049743185797885274,3,12.54335218612733,0.7096834432905521,0.6727680575448478,4.7444276862666666,6.732248920775331,2.9987567784441875,673916.007511873
4,COMPLETE,892032.1615103618,550,0.01302780710309028,8,9.362897381052425,0.6927133821956726,0.8233119185389446,0.17194260557609198,3.5204810455260365,0.01297240393071079,647698.2368938543
5,PRUNED,888880.6325802366,900,0.02325951592241212,7,11.387495307522313,0.7146990594339345,0.9893546197175955,3.8756641168055728,4.9830438374949075,7.057961339161952,
6,COMPLETE,865098.7963648002,850,0.12139707695554378,3,4.723674385963759,0.6658295511186884,0.7638656157671425,1.9433864484474102,0.002273762810253686,3.6679624869306977,630318.3102735234
7,PRUNED,880572.7842828088,600,0.02139954903017622,7,3.6775602745204905,0.9307689432639139,0.6760927252879199,4.9344346830025865,0.7264803074826727,0.007156194022692475,
8,COMPLETE,889234.1689555468,300,0.09100328259258599,8,14.851136192778759,0.919944621340081,0.6759156281069316,1.7923286427213632,0.00037961668958008145,5.15505999557513,650148.7926551845
9,COMPLETE,884604.2738342728,850,0.02450001073565503,3,6.908664112597582,0.7638141627093615,0.9053621624183225,3.1877873567760657,2.7293781650374753,0.10740155209032688,644114.316455677
10,COMPLETE,890683.815453398,1200,0.06461520158893268,5,1.34127563668158,0.8479645817384911,0.7766186481134734,1.3384134435618573,0.009167785859319854,0.7534664856914075,650703.6313294325
11,COMPLETE,844083.3416677526,1100,0.14692867160590165,5,7.779718713756306,0.6609827217328216,0.7512675396737901,0.21803539626562296,0.07352836149311404,19.634960600285844,611475.449267768
12,COMPLETE,886389.2824518019,1100,0.13922475612802743,5,7.303740122201843,0.6570036432654348,0.7636840458298286,2.698100534013988,0.07232089166539438,18.355490847795437,649209.7779805167
13,COMPLETE,882956.5739769973,1050,0.08872072056653449,5,19.987886334189472,0.8182880097528147,0.8567827294825463,0.9162509630588249,0.09423453505461607,19.7948564917692,644612.1982372475
14,COMPLETE,879574.3932635119,1200,0.1043980812021658,4,6.955625655119404,0.6607146210018237,0.7400333999725828,1.7712621783119251,0.0005636267720766738,1.5407142758615713,639823.0221975904
15,PRUNED,867902.2578703337,1000,0.06002085323595877,4,4.721945178751358,0.8069918199115266,0.8320976001169913,3.3800382114846292,0.002692179620248669,1.7034329410942406,
16,COMPLETE,826364.3216098878,850,0.04257209347713866,4,9.273904356303996,0.8702650331104353,0.9063944770971006,0.003517242856640984,0.021964531919506453,0.0011394209395267588,596359.3507681298
17,PRUNED,873968.994652038,500,0.03725856835863826,6,8.758707484476629,0.8859911817426758,0.9331972605098313,0.7017069875710016,0.018561834207311587,0.0013711216602360625,
18,COMPLETE,826064.691406709,1100,0.03526558173487646,4,15.108940854601093,0.8766895598458924,0.9111484084321936,0.016974309020545753,0.24946539087420178,0.03532587788682664,596813.1517682815
19,COMPLETE,870947.8421465555,750,0.035260480689827095,4,14.94513138752594,0.9834749803141767,0.9141361917519564,1.207917130883944,0.30434936120413975,0.03643828979377016,635048.2316214205
