scenario,fold,raw_MAE,raw_RMSE,raw_R2,raw_MAPE,cal_MAE,cal_RMSE,cal_R2,cal_MAPE
full_model,fold1_2020H2-2021,632860.8529221199,904469.4083417979,0.6608912636316555,0.22672004131164986,540303.7788642888,740651.3858140117,0.7726060565341353,0.2244100611039462
full_model,fold2_2021H2-2022,622282.8226546469,861644.4928931657,0.692637631020675,0.22946999995795017,586723.168671936,832573.440850995,0.7130279718299684,0.23091243530112499
full_model,fold3_test_proxy,680717.5058817622,953198.4527065728,0.6756944452023514,0.21823391037613835,604247.5388558587,858572.270354314,0.7368875214987924,0.2159392884738036
minus_baseline_features,fold1_2020H2-2021,739226.951224734,997352.9922034824,0.5876661361891085,0.2642371854329354,566776.674680504,770588.6275367278,0.7538519472816309,0.23166076474518815
minus_baseline_features,fold2_2021H2-2022,674668.9289347795,919528.9066904249,0.6499539071442015,0.24583207206040603,620422.6771933427,862998.3482976502,0.691670988456266,0.24723226245873225
minus_baseline_features,fold3_test_proxy,761049.0976243734,1033865.9092788398,0.6184810094805089,0.24089946606430962,632241.0399795173,876978.5688577692,0.7254852459798935,0.2248084340052027
minus_aux_projection_levels,fold1_2020H2-2021,662561.8624958794,949011.6355660197,0.6266687983539851,0.23258018307258274,558844.5818064981,779708.0185991565,0.7479914851911579,0.22468687532829634
minus_aux_projection_levels,fold2_2021H2-2022,611995.7550025975,849778.2812084459,0.7010450726359966,0.2281780397870457,602115.2417033608,855818.4216711061,0.6967800843017011,0.2406888037214864
minus_aux_projection_levels,fold3_test_proxy,671601.7800461496,942625.0376579486,0.6828493014168888,0.21554697671056014,611298.7126720113,866079.7585846637,0.7322660117473403,0.2164769148004297
minus_aux_projection_lifts,fold1_2020H2-2021,632328.080474761,900423.155679714,0.6639185643751935,0.22848355998854747,551026.0595663007,759108.9233570925,0.761131211475601,0.22777062402442125
minus_aux_projection_lifts,fold2_2021H2-2022,624748.1578633359,866897.2566328841,0.6888787186397242,0.2290820050159814,568594.4498023401,815487.1001630656,0.7246857740902009,0.2262583252867723
minus_aux_projection_lifts,fold3_test_proxy,681459.3497723348,953117.4239357272,0.6757495794999271,0.2189007815111121,611423.5353625801,869778.9796508688,0.7299740234508716,0.21595738519458546
minus_volume,fold1_2020H2-2021,641325.2487112979,916981.9500400355,0.6514438195628105,0.22916867122233234,559264.4600496123,771428.9960940656,0.7533147790186058,0.2291052986229639
minus_volume,fold2_2021H2-2022,622306.6117520888,863468.5419879471,0.6913349186369722,0.2301397161028443,589648.7035991783,842703.8210678388,0.7060019919572789,0.23417877294580283
minus_volume,fold3_test_proxy,678776.6211097448,952822.2471317742,0.6759503866191856,0.21802601676680664,610745.1496922971,869805.8209136361,0.7299573572628082,0.21619279619181167
minus_marketing_web,fold1_2020H2-2021,638891.4055431316,910415.8722381226,0.6564176427333617,0.22830334581085326,540152.9582045729,742667.7413923553,0.7713662528237593,0.22244466829495968
minus_marketing_web,fold2_2021H2-2022,613253.9828244521,852787.9622595306,0.6989236902721008,0.22739575555894412,583057.4258665815,827457.0492319815,0.7165441777868985,0.2316712587274873
minus_marketing_web,fold3_test_proxy,670272.243915019,941998.4292376147,0.6832708120660349,0.2162563960681203,603360.5786838535,855549.942659431,0.7387366669084643,0.2143783379463937
minus_mix_geo_product,fold1_2020H2-2021,638502.6539834213,910358.0835253092,0.6564612591785988,0.22845515851815792,546782.0788203372,748215.8452507477,0.7679374735412766,0.22577403772510646
minus_mix_geo_product,fold2_2021H2-2022,624506.4457965356,865108.8505598083,0.6901610787985683,0.23051157406787692,594120.6442652446,841794.2736166113,0.7066362855828321,0.23552936202549846
minus_mix_geo_product,fold3_test_proxy,685709.3176593082,958730.0360658396,0.6719195157826292,0.2195568553863834,599567.2815251917,856507.2448537563,0.7381516680054514,0.21397819194302925
minus_ops_quality_inventory,fold1_2020H2-2021,630374.3876319191,899803.4385768586,0.6643810219195574,0.22599291154136567,543439.826826264,746068.4330395007,0.7692676212150972,0.22448143382291044
minus_ops_quality_inventory,fold2_2021H2-2022,620241.2073330694,861644.2812980736,0.6926377819793622,0.22853317794541161,583128.2544692454,837936.8440732169,0.7093187392647909,0.23021292381722655
minus_ops_quality_inventory,fold3_test_proxy,675358.7348311563,944274.2942075172,0.6817385300446939,0.2178792603849574,597356.242762454,849178.269839743,0.7426136717708055,0.21208107278840094
