fold,model,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,seasonal_naive_lag365,,,,
fold1_2020H2-2021,seasonal_naive_mean2y,720296.7191712204,955871.0721679407,0.6212524336467087,0.3212584389013692
fold1_2020H2-2021,seasonal_naive_growth,,,,
fold1_2020H2-2021,gbr_log_target,593929.8469512033,829993.9350263965,0.7144375814630282,0.25071495095995144
fold1_2020H2-2021,lightgbm_log_target,643207.3345246313,896620.8612018962,0.6667509714950566,0.2594619787141011
fold1_2020H2-2021,lightgbm_top_aux_log_target,629684.7061234912,871705.2638408425,0.6850145081642438,0.25329097083978874
fold1_2020H2-2021,lightgbm_all_aux_log_target,612123.9725701261,853555.063798467,0.6979948839479887,0.2483864964586748
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual,632860.8529221199,904469.4083417979,0.6608912636316555,0.22672004131164986
fold1_2020H2-2021,mlp_deep_learning,1220712.7756163115,1570576.715522247,-0.02251461187348336,0.44994054681930007
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual_calibrated,540303.7788642888,740651.3858140117,0.7726060565341353,0.2244100611039462
fold2_2021H2-2022,seasonal_naive_lag365,,,,
fold2_2021H2-2022,seasonal_naive_mean2y,676345.9810928962,941474.2419615706,0.633046236095455,0.2556496210628792
fold2_2021H2-2022,seasonal_naive_growth,,,,
fold2_2021H2-2022,gbr_log_target,566690.6651679287,774746.6738579726,0.7515071469555611,0.21853693287775358
fold2_2021H2-2022,lightgbm_log_target,604426.4661276258,812728.5515652627,0.7265452348857462,0.2326544123205464
fold2_2021H2-2022,lightgbm_top_aux_log_target,612100.105210432,831449.3434671526,0.7138023581408169,0.23018638902104577
fold2_2021H2-2022,lightgbm_all_aux_log_target,634863.2196038791,863028.1068740687,0.6916497240108186,0.23303937600897465
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual,622282.8226546469,861644.4928931657,0.692637631020675,0.22946999995795017
fold2_2021H2-2022,mlp_deep_learning,709825.0499549479,947718.9683974831,0.628162139376907,0.2700659399065573
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual_calibrated,586723.168671936,832573.440850995,0.7130279718299684,0.23091243530112499
fold3_test_proxy,seasonal_naive_lag365,837704.0917808219,1161819.0014722333,0.51820234689425,0.27861859568076297
fold3_test_proxy,seasonal_naive_mean2y,719878.7173424658,991869.7332112682,0.6488464962478917,0.23484797587462375
fold3_test_proxy,seasonal_naive_growth,843078.4941060396,1165580.2393699826,0.5150777829154936,0.27908197428981796
fold3_test_proxy,gbr_log_target,626657.270289492,845676.9549837016,0.7447317963654561,0.2122523330224563
fold3_test_proxy,lightgbm_log_target,654758.3192940402,865099.996987499,0.7328714227474484,0.21825654650968454
fold3_test_proxy,lightgbm_top_aux_log_target,679871.436931838,905772.5294633595,0.7071629519245294,0.22449504381324023
fold3_test_proxy,lightgbm_all_aux_log_target,699111.5183598266,942624.4511530526,0.6828496960815162,0.2258049845266387
fold3_test_proxy,xgboost_top_aux_no_lag_residual,680717.5058817622,953198.4527065728,0.6756944452023514,0.21823391037613835
fold3_test_proxy,mlp_deep_learning,756121.082262907,990579.981702212,0.649759128799267,0.24465209811765126
fold3_test_proxy,xgboost_top_aux_no_lag_residual_calibrated,604247.5388558587,858572.270354314,0.7368875214987924,0.2159392884738036
