fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4797719.0,4612433.562781396
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,4111872.75,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,1769958.0,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1285750.625,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1587708.625,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1596824.0,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2085403.625,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2229306.75,2377262.969887961
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2476807.25,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2606170.5,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2073422.5,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,1903568.625,2054135.908725801
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2376353.5,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2579950.0,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,2915484.25,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3362182.0,3619204.3698525587
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2952132.0,3327225.8790875883
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2076568.5,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2327145.5,2468181.19519104
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,2679118.75,2930392.9997688876
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,2815565.0,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3330420.5,3619204.3698525587
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3741482.25,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3358034.5,3619204.3698525587
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2403487.0,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2384133.75,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,2810813.25,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,2859889.5,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,3495227.0,3862166.182235346
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,4100362.75,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,3895510.0,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,4470288.5,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,2804230.25,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,2768516.75,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,1026772.9375,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,1788071.75,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,2474196.0,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-08-07,3277756.91,1642743.375,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-08-08,2449651.51,994599.0,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-08-09,2935305.67,1385864.0,1629776.5745283116
fold1_2020H2-2021,2020-06-30,2020-08-10,2914723.92,2202277.0,2377262.969887961
fold1_2020H2-2021,2020-06-30,2020-08-11,2533038.45,1497943.0,1686989.8640123117
fold1_2020H2-2021,2020-06-30,2020-08-12,4245177.97,1407387.375,1629776.5745283116
fold1_2020H2-2021,2020-06-30,2020-08-13,3438121.83,3296115.0,3619204.3698525587
fold1_2020H2-2021,2020-06-30,2020-08-14,3685522.51,2199380.5,2377262.969887961
fold1_2020H2-2021,2020-06-30,2020-08-15,2556409.43,1715200.5,1949070.9936570814
fold1_2020H2-2021,2020-06-30,2020-08-16,2596444.46,1944531.625,2057987.1083464737
fold1_2020H2-2021,2020-06-30,2020-08-17,3646382.12,1751527.0,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-08-18,3240488.83,2283295.75,2468181.19519104
fold1_2020H2-2021,2020-06-30,2020-08-19,3279887.27,2368959.5,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-08-20,3569013.59,3117774.75,3327225.8790875883
fold1_2020H2-2021,2020-06-30,2020-08-21,3939388.46,3236372.25,3488813.7080950662
fold1_2020H2-2021,2020-06-30,2020-08-22,2465099.71,1713939.75,1949070.9936570814
fold1_2020H2-2021,2020-06-30,2020-08-23,2832425.22,1607686.875,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-08-24,3217603.07,2289460.0,2468181.19519104
fold1_2020H2-2021,2020-06-30,2020-08-25,2428315.18,1394203.375,1629776.5745283116
fold1_2020H2-2021,2020-06-30,2020-08-26,3194953.82,2553020.0,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-08-27,4445347.68,4810972.5,4612433.562781396
fold1_2020H2-2021,2020-06-30,2020-08-28,7296538.72,5081298.0,4962243.312024445
fold1_2020H2-2021,2020-06-30,2020-08-29,7517051.79,5283320.5,5622212.675921261
fold1_2020H2-2021,2020-06-30,2020-08-30,8480394.59,5215905.0,5622212.675921261
fold1_2020H2-2021,2020-06-30,2020-08-31,7490849.71,4977725.5,4962243.312024445
fold1_2020H2-2021,2020-06-30,2020-09-01,6047477.92,2136024.75,2294801.7717576087
fold1_2020H2-2021,2020-06-30,2020-09-02,1434923.77,1308034.125,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-09-03,1557705.54,815956.875,995382.1489783534
fold1_2020H2-2021,2020-06-30,2020-09-04,1425115.38,1375062.125,1520312.6872587062
fold1_2020H2-2021,2020-06-30,2020-09-05,1581867.47,2149565.0,2294801.7717576087
fold1_2020H2-2021,2020-06-30,2020-09-06,2654105.11,2202117.75,2377262.969887961
fold1_2020H2-2021,2020-06-30,2020-09-07,2479133.84,2759286.0,2930392.9997688876
fold1_2020H2-2021,2020-06-30,2020-09-08,2542645.13,2423079.75,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-09-09,1979410.07,1913397.625,2054135.908725801
fold1_2020H2-2021,2020-06-30,2020-09-10,3146008.14,2057761.5,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-09-11,1990335.39,2087084.875,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-09-12,2806228.3,2327474.5,2468181.19519104
fold1_2020H2-2021,2020-06-30,2020-09-13,2240095.92,2592157.0,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-09-14,2832905.03,2534057.5,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-09-15,2914536.51,2565306.0,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-09-16,1994638.41,1904554.5,2054135.908725801
fold1_2020H2-2021,2020-06-30,2020-09-17,1827659.24,2017981.625,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-09-18,2600220.08,2422347.5,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-09-19,1806587.98,2093207.5,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-09-20,2334885.81,2926384.0,3055928.954023051
fold1_2020H2-2021,2020-06-30,2020-09-21,3082015.84,3179462.5,3327225.8790875883
fold1_2020H2-2021,2020-06-30,2020-09-22,2827707.7,2419500.0,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-09-23,2254030.17,2447927.25,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-09-24,2021614.99,2521177.5,2727763.282326285
fold1_2020H2-2021,2020-06-30,2020-09-25,2587034.31,2722360.75,2930392.9997688876
fold1_2020H2-2021,2020-06-30,2020-09-26,2219447.23,3279720.75,3488813.7080950662
fold1_2020H2-2021,2020-06-30,2020-09-27,3907778.93,3889089.75,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-09-28,4681424.38,3953475.75,4393759.446676668
fold1_2020H2-2021,2020-06-30,2020-09-29,3862957.51,3449173.5,3862166.182235346
fold1_2020H2-2021,2020-06-30,2020-09-30,3185317.6,3019112.25,3327225.8790875883
fold1_2020H2-2021,2020-06-30,2020-10-01,2053948.94,1368124.375,1520312.6872587062
fold1_2020H2-2021,2020-06-30,2020-10-02,844947.12,1285220.625,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-10-03,1819620.17,1572910.125,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-10-04,1305849.84,1863890.0,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-10-05,1476045.28,2225196.0,2377262.969887961
fold1_2020H2-2021,2020-06-30,2020-10-06,2225510.95,1904463.375,2054135.908725801
fold1_2020H2-2021,2020-06-30,2020-10-07,2084609.48,1371426.0,1520312.6872587062
fold1_2020H2-2021,2020-06-30,2020-10-08,1798621.9,1256762.75,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-10-09,1682037.65,1428819.125,1629776.5745283116
fold1_2020H2-2021,2020-06-30,2020-10-10,2023437.43,1799537.0,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-10-11,1446988.51,1568661.625,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-10-12,1856496.7,2097151.875,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-10-13,3071390.97,1799062.0,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-10-14,2627129.58,1834779.5,1987864.4856224663
fold1_2020H2-2021,2020-06-30,2020-10-15,1826480.99,1368187.875,1520312.6872587062
fold1_2020H2-2021,2020-06-30,2020-10-16,2213689.11,1224631.875,1508831.794012418
fold1_2020H2-2021,2020-06-30,2020-10-17,2024181.52,1639732.375,1777060.2804593546
fold1_2020H2-2021,2020-06-30,2020-10-18,2416150.55,2305211.5,2468181.19519104
fold1_2020H2-2021,2020-06-30,2020-10-19,1798941.77,2713743.5,2930392.9997688876
fold1_2020H2-2021,2020-06-30,2020-10-20,2361849.87,2489662.25,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-10-21,2168284.88,2101275.75,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-10-22,2384359.77,1713497.625,1949070.9936570814
fold1_2020H2-2021,2020-06-30,2020-10-23,1313373.58,1995736.5,2151129.4306728994
fold1_2020H2-2021,2020-06-30,2020-10-24,2435210.66,2403949.5,2719859.818182715
fold1_2020H2-2021,2020-06-30,2020-10-25,2045855.5,2292162.25,2468181.19519104
