fold,month,actual_revenue,pred_raw,pred_calibrated,n_days,abs_err_raw,abs_err_calibrated,ape_raw,ape_calibrated,is_peak_month
fold1_2020H2-2021,2020-07-01,90701640.38,84988372.25,92127336.3799903,31,5713268.129999995,1425695.9999902993,0.06298968911768203,0.01571852497945197,0
fold1_2020H2-2021,2020-08-01,122065017.36,81303578.3125,87660539.90272687,31,40761439.0475,34404477.457273126,0.33393219391666007,0.2818537055199508,1
fold1_2020H2-2021,2020-09-01,78825813.7,73491840.5,79672521.77644265,30,5333973.200000003,846708.076442644,0.06766784825463848,0.010741507593757246,0
fold1_2020H2-2021,2020-10-01,68136462.93,64009575.125,70123290.11050768,31,4126887.805000007,1986827.1805076748,0.0605679782532851,0.02915952920169692,0
fold1_2020H2-2021,2020-11-01,45740881.45,42442840.4375,48501469.038455464,30,3298041.012500003,2760587.588455461,0.07210269911621921,0.06035274137585429,0
fold1_2020H2-2021,2020-12-01,43671563.77,42138271.1875,49006112.35706726,31,1533292.5825000033,5334548.587067254,0.03510963313737101,0.12215153584062405,0
fold1_2020H2-2021,2021-01-01,46473094.42,49183032.1875,56471238.682797715,31,2709937.767499998,9998144.262797713,0.0583119717187104,0.21513833730200127,0
fold1_2020H2-2021,2021-02-01,66077638.57,62812665.5,68402637.68196554,28,3264973.0700000003,2324999.1119655445,0.04941116451280593,0.03518586865816238,0
fold1_2020H2-2021,2021-03-01,113274006.63,103216740.0625,111845850.84208976,31,10057266.567499995,1428155.787910238,0.08878706480606102,0.01260797450711873,1
fold1_2020H2-2021,2021-04-01,134836887.53,130986634.5,139500471.01583347,30,3850253.030000001,4663583.485833466,0.02855489399474127,0.03458685209413381,1
fold1_2020H2-2021,2021-05-01,143070694.87,126622641.75,135372896.58515728,31,16448053.120000005,7697798.28484273,0.1149645155141337,0.05380415809007757,1
fold1_2020H2-2021,2021-06-01,128449576.26,118638408.5,127918510.3665938,30,9811167.760000005,531065.8934062123,0.07638147236967775,0.004134430870610739,1
fold1_2020H2-2021,2021-07-01,101001502.3,70741290.0,77048125.5274904,31,30260212.299999997,23953376.77250959,0.29960160602482444,0.23715861870412586,0
fold1_2020H2-2021,2021-08-01,68280026.82000001,67766366.1875,74783609.67511722,31,513660.63250000775,6503582.855117217,0.007522853408568823,0.0952486862997576,0
fold1_2020H2-2021,2021-09-01,74841850.26,62699335.375,68974983.23225494,30,12142514.885000005,5866867.027745068,0.16224231286128019,0.07839019221683614,0
fold1_2020H2-2021,2021-10-01,65692136.16,59335242.1875,66441915.500540726,31,6356893.972499996,749779.3405407295,0.09676795951675439,0.011413532644372597,0
fold1_2020H2-2021,2021-11-01,50638497.46,43663168.0,49713749.295259364,30,6975329.460000001,924748.164740637,0.137747559858187,0.018261761527800215,0
fold1_2020H2-2021,2021-12-01,50403908.35,37825264.625,44431330.576655544,31,12578643.725000001,5972577.773344457,0.24955691208814765,0.11849433841263735,0
fold2_2021H2-2022,2021-07-01,101001502.3,86476835.625,94347609.88634224,31,14524666.674999997,6653892.413657755,0.14380644192655734,0.0658791430041705,0
fold2_2021H2-2022,2021-08-01,68280026.82000001,81781503.25,88193711.4135087,31,13501476.429999992,19913684.59350869,0.19773683548181112,0.2916472872221506,0
fold2_2021H2-2022,2021-09-01,74841850.26,73142402.25,78250364.43700866,30,1699448.0100000054,3408514.1770086586,0.02270718861300377,0.045542890310267675,0
fold2_2021H2-2022,2021-10-01,65692136.16,63509859.625,69186567.91107674,31,2182276.5349999964,3494431.751076743,0.03321975296532961,0.05319406485071049,0
fold2_2021H2-2022,2021-11-01,50638497.46,48895421.375,55039167.87261285,30,1743076.085000001,4400670.412612848,0.034421955082235195,0.08690365301792365,0
fold2_2021H2-2022,2021-12-01,50403908.35,42539876.25,50491485.288382016,31,7864032.1000000015,87576.93838201463,0.1560202840897357,0.001737502928818309,0
fold2_2021H2-2022,2022-01-01,59663486.32,47931376.9375,55593948.8424762,31,11732109.3825,4069537.4775238037,0.1966380127298602,0.06820817435469975,0
fold2_2021H2-2022,2022-02-01,79103095.5,63030993.625,69188065.41083708,28,16072101.875,9915030.089162916,0.20317917741916938,0.12534313640308697,0
fold2_2021H2-2022,2022-03-01,137537949.28,109921339.375,118408047.42180617,31,27616609.905,19129901.85819383,0.200792654315196,0.13908817136170282,1
fold2_2021H2-2022,2022-04-01,141305508.81,127036397.75,135996817.9942086,30,14269111.060000002,5308690.815791398,0.10098057167174078,0.037568887869258424,1
fold2_2021H2-2022,2022-05-01,139027887.16,128998298.25,136875647.52904338,31,10029588.909999996,2152239.63095662,0.07214084249484035,0.015480632518565997,1
fold2_2021H2-2022,2022-06-01,135812426.69,117553207.25,125957419.56418979,30,18259219.439999998,9855007.125810206,0.13444439426502378,0.07256336821301963,1
fold2_2021H2-2022,2022-07-01,98141777.72,78182868.75,84624524.5710909,31,19958908.97,13517253.148909092,0.20336812144307262,0.13773189627228907,0
fold2_2021H2-2022,2022-08-01,113542943.47,111841389.0,119583664.22412261,31,1701554.4699999988,6040720.754122615,0.01498599928801017,0.05320207993127003,1
fold2_2021H2-2022,2022-09-01,85764286.59,67328932.875,72519476.82214364,30,18435353.715000004,13244809.76785636,0.2149537348002559,0.15443269330943968,0
fold2_2021H2-2022,2022-10-01,75194452.31,51056126.125,57536777.611690566,31,24138326.185000002,17657674.698309436,0.32101206197348525,0.23482682772278357,0
fold2_2021H2-2022,2022-11-01,52200081.64,47865410.8125,53879751.45780391,30,4334670.827500001,1679669.8178039119,0.0830395411523345,0.03217753239138252,0
fold2_2021H2-2022,2022-12-01,52454936.2,41970475.1875,49287734.896420054,31,10484461.012500003,3167201.303579949,0.19987558411137676,0.060379471085505745,0
fold3_test_proxy,2022-01-01,59663486.32,47817502.25,54417757.413832374,31,11845984.07,5245728.906167626,0.19854662877836335,0.08792193064335209,0
fold3_test_proxy,2022-02-01,79103095.5,60077797.125,65726066.1330836,28,19025298.375,13377029.366916403,0.2405126911247108,0.16910879760598502,0
