fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4780489.5,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,4102777.5,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,1801221.25,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1327372.125,1539715.409861196
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1684623.375,1926705.992487854
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1614070.625,1714985.2700621902
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2089101.25,2269399.922658742
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2312872.5,2518992.939820185
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2575069.5,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2568634.75,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2136093.75,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,1968500.25,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2329028.5,2518992.939820185
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2624983.5,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,2996241.25,3230538.885416966
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3432038.25,3677667.065951298
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2941023.75,3223921.1207997324
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2238841.5,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2377803.0,2653952.197735503
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,2875739.75,3050773.1067375937
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,2888351.0,3060145.1499999994
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3355578.25,3677667.065951298
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3705658.5,4153120.2948611164
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3407049.25,3677667.065951298
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2462597.25,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2394069.75,2653952.197735503
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,2784906.0,2940619.259171984
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,3009888.75,3230538.885416966
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,3537663.0,3677667.065951298
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,4316899.0,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,4080292.0,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,4158771.25,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,2724511.0,2940619.259171984
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,2707096.0,2853085.319593001
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,1094871.0,1409713.7627305703
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,1855989.375,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,2616600.75,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-08-07,3277756.91,1742581.625,1926705.992487854
fold1_2020H2-2021,2020-06-30,2020-08-08,2449651.51,1006274.0,1409713.7627305703
fold1_2020H2-2021,2020-06-30,2020-08-09,2935305.67,1394002.75,1607873.97152401
fold1_2020H2-2021,2020-06-30,2020-08-10,2914723.92,2129845.5,2269399.922658742
fold1_2020H2-2021,2020-06-30,2020-08-11,2533038.45,1629104.625,1714985.2700621902
fold1_2020H2-2021,2020-06-30,2020-08-12,4245177.97,1479421.875,1615519.6671732967
fold1_2020H2-2021,2020-06-30,2020-08-13,3438121.83,3206730.75,3412690.630633072
fold1_2020H2-2021,2020-06-30,2020-08-14,3685522.51,2378628.25,2653952.197735503
fold1_2020H2-2021,2020-06-30,2020-08-15,2556409.43,1693805.25,1926705.992487854
fold1_2020H2-2021,2020-06-30,2020-08-16,2596444.46,1993644.875,2087086.545478634
fold1_2020H2-2021,2020-06-30,2020-08-17,3646382.12,1823100.125,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-08-18,3240488.83,2289158.5,2518992.939820185
fold1_2020H2-2021,2020-06-30,2020-08-19,3279887.27,2456271.75,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-08-20,3569013.59,3031769.0,3230538.885416966
fold1_2020H2-2021,2020-06-30,2020-08-21,3939388.46,3144778.5,3412690.630633072
fold1_2020H2-2021,2020-06-30,2020-08-22,2465099.71,1703336.875,1926705.992487854
fold1_2020H2-2021,2020-06-30,2020-08-23,2832425.22,1674638.875,1926705.992487854
fold1_2020H2-2021,2020-06-30,2020-08-24,3217603.07,2182591.75,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-08-25,2428315.18,1431868.625,1615519.6671732967
fold1_2020H2-2021,2020-06-30,2020-08-26,3194953.82,2593513.5,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-08-27,4445347.68,5041764.0,5517478.464316356
fold1_2020H2-2021,2020-06-30,2020-08-28,7296538.72,5027878.0,5517478.464316356
fold1_2020H2-2021,2020-06-30,2020-08-29,7517051.79,5319885.5,5517478.464316356
fold1_2020H2-2021,2020-06-30,2020-08-30,8480394.59,5349505.0,5517478.464316356
fold1_2020H2-2021,2020-06-30,2020-08-31,7490849.71,5095137.5,5517478.464316356
fold1_2020H2-2021,2020-06-30,2020-09-01,6047477.92,2155326.25,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-09-02,1434923.77,1314411.375,1539715.409861196
fold1_2020H2-2021,2020-06-30,2020-09-03,1557705.54,826345.8125,969996.9958865008
fold1_2020H2-2021,2020-06-30,2020-09-04,1425115.38,1419603.125,1607873.97152401
fold1_2020H2-2021,2020-06-30,2020-09-05,1581867.47,2113263.25,2269399.922658742
fold1_2020H2-2021,2020-06-30,2020-09-06,2654105.11,2155010.25,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-09-07,2479133.84,2587121.5,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-08,2542645.13,2479312.0,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-09,1979410.07,1962069.0,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-09-10,3146008.14,2157298.5,2515284.320587202
fold1_2020H2-2021,2020-06-30,2020-09-11,1990335.39,2135042.5,2269399.922658742
fold1_2020H2-2021,2020-06-30,2020-09-12,2806228.3,2323663.25,2518992.939820185
fold1_2020H2-2021,2020-06-30,2020-09-13,2240095.92,2637025.5,2808833.4921037387
fold1_2020H2-2021,2020-06-30,2020-09-14,2832905.03,2556072.5,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-15,2914536.51,2521551.75,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-16,1994638.41,1891917.25,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-09-17,1827659.24,2125962.25,2269399.922658742
fold1_2020H2-2021,2020-06-30,2020-09-18,2600220.08,2326221.25,2518992.939820185
fold1_2020H2-2021,2020-06-30,2020-09-19,1806587.98,1931257.375,1997939.9254885
fold1_2020H2-2021,2020-06-30,2020-09-20,2334885.81,2790258.5,2940619.259171984
fold1_2020H2-2021,2020-06-30,2020-09-21,3082015.84,3177375.75,3412690.630633072
fold1_2020H2-2021,2020-06-30,2020-09-22,2827707.7,2457812.25,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-23,2254030.17,2442066.0,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-24,2021614.99,2561671.25,2670875.029746984
fold1_2020H2-2021,2020-06-30,2020-09-25,2587034.31,2731030.0,2940619.259171984
fold1_2020H2-2021,2020-06-30,2020-09-26,2219447.23,3331445.5,3542169.478320122
fold1_2020H2-2021,2020-06-30,2020-09-27,3907778.93,3954485.5,4378803.327053149
fold1_2020H2-2021,2020-06-30,2020-09-28,4681424.38,4060154.0,4378803.327053149
