fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,3372974.6762318416,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,3233433.3987192465,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,3614209.0559929633,4607816.076307448
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,858760.3523999457,1472951.3487590998
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1494044.56492559,1860711.5375563644
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1392913.6063982819,1860711.5375563644
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,1823031.990736561,2269388.326598033
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2008642.031218958,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2535467.479049936,3079737.7801802442
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,1924347.1092313617,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2107928.552575886,2741443.4316777373
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,2488174.582035616,3033584.3543563667
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2111800.5083692432,2741443.4316777373
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2329581.751218853,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,3178036.5942647983,3973382.4576477087
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,2956222.5516953636,3792196.881143266
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2229727.647808507,2786911.6646664934
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2163518.9196945704,2741443.4316777373
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2293138.3273175787,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,3024056.4295134903,3792196.881143266
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,2332625.594171795,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3424433.7144778264,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3361507.530007912,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,2608402.903129946,3398713.385143928
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2140740.7469370402,2741443.4316777373
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2347060.1657421417,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,2355646.8139298744,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,2717508.5631167507,3398713.385143928
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,3427788.9179365635,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,3513081.84576408,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,3989567.796982227,4607816.076307448
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,3458377.0782233714,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,3409188.079454218,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,3156383.058612142,3973382.4576477087
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,2620821.8073003367,3398713.385143928
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,1510506.3901446152,1860711.5375563644
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,1990325.374801088,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-08-07,3277756.91,1670501.6776147685,2088246.1312092554
fold1_2020H2-2021,2020-06-30,2020-08-08,2449651.51,1528369.4685967786,1860711.5375563644
fold1_2020H2-2021,2020-06-30,2020-08-09,2935305.67,1853861.6404744887,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-08-10,2914723.92,1656558.9004433278,1984994.8565902584
fold1_2020H2-2021,2020-06-30,2020-08-11,2533038.45,1928410.8169672557,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-08-12,4245177.97,1889156.4365928918,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-08-13,3438121.83,1931207.2557259502,2415601.029544984
fold1_2020H2-2021,2020-06-30,2020-08-14,3685522.51,2245751.223488938,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-08-15,2556409.43,1826308.1730258467,2331123.892620502
fold1_2020H2-2021,2020-06-30,2020-08-16,2596444.46,2056336.4059997736,2499879.3905253923
fold1_2020H2-2021,2020-06-30,2020-08-17,3646382.12,1753012.8869450393,2269388.326598033
fold1_2020H2-2021,2020-06-30,2020-08-18,3240488.83,2075022.8275098675,2512931.6786527275
fold1_2020H2-2021,2020-06-30,2020-08-19,3279887.27,2644551.1349787577,3398713.385143928
fold1_2020H2-2021,2020-06-30,2020-08-20,3569013.59,2416559.9660490174,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-08-21,3939388.46,2259710.2267792583,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-08-22,2465099.71,2272004.6168774366,2992226.3594748615
fold1_2020H2-2021,2020-06-30,2020-08-23,2832425.22,2028579.8221607876,2490261.236683083
fold1_2020H2-2021,2020-06-30,2020-08-24,3217603.07,1542869.3348494652,1860711.5375563644
fold1_2020H2-2021,2020-06-30,2020-08-25,2428315.18,2181906.07818598,2741443.4316777373
fold1_2020H2-2021,2020-06-30,2020-08-26,3194953.82,2546560.229717098,3079737.7801802442
fold1_2020H2-2021,2020-06-30,2020-08-27,4445347.68,2938319.1233026506,3792196.881143266
fold1_2020H2-2021,2020-06-30,2020-08-28,7296538.72,4812962.371257814,5595508.335566206
fold1_2020H2-2021,2020-06-30,2020-08-29,7517051.79,3583578.6254086425,4607816.076307448
fold1_2020H2-2021,2020-06-30,2020-08-30,8480394.59,4980039.016681115,6084179.083793954
fold1_2020H2-2021,2020-06-30,2020-08-31,7490849.71,4332504.846395895,4835431.196435477
fold1_2020H2-2021,2020-06-30,2020-09-01,6047477.92,3266659.4879549993,4196318.835204377
fold1_2020H2-2021,2020-06-30,2020-09-02,1434923.77,850500.1692650975,1472951.3487590998
fold1_2020H2-2021,2020-06-30,2020-09-03,1557705.54,1136641.6425578517,1581074.83764816
fold1_2020H2-2021,2020-06-30,2020-09-04,1425115.38,903464.1258899095,1472951.3487590998
