number,state,value,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mean_mae
0,COMPLETE,912827.2263697659,650,0.13125830316209655,8,12.374511199743695,0.7046065241548528,0.7045980821176709,0.2904180608409973,2.1423021757741068,0.3849583075868115,646964.9693311251
1,COMPLETE,969070.9703001435,950,0.010573268083515799,10,16.816410175208013,0.7243186887373967,0.7136387385224853,0.9170225492671691,0.0033205591037519565,0.18071456341395586,689130.9941150397
2,COMPLETE,1004347.0496532939,700,0.022004527434741072,7,3.6503833523887947,0.7522506269873264,0.7782266451527922,2.28034992108518,0.8431013932082461,0.007224419004573213,716159.9055654538
3,COMPLETE,1067260.0651695665,750,0.049743185797885274,3,12.54335218612733,0.7096834432905521,0.6727680575448478,4.7444276862666666,6.732248920775331,2.9987567784441875,766660.0263871435
4,COMPLETE,901734.0879117559,550,0.01302780710309028,8,9.362897381052425,0.6927133821956726,0.8233119185389446,0.17194260557609198,3.5204810455260365,0.01297240393071079,640805.8774275342
5,PRUNED,1017096.2035881057,900,0.02325951592241212,7,11.387495307522313,0.7146990594339345,0.9893546197175955,3.8756641168055728,4.9830438374949075,7.057961339161952,
6,PRUNED,956966.5955717065,850,0.12139707695554378,3,4.723674385963759,0.6658295511186884,0.7638656157671425,1.9433864484474102,0.002273762810253686,3.6679624869306977,
7,PRUNED,1016924.0966711607,600,0.02139954903017622,7,3.6775602745204905,0.9307689432639139,0.6760927252879199,4.9344346830025865,0.7264803074826727,0.007156194022692475,
8,PRUNED,984976.0113956793,300,0.09100328259258599,8,14.851136192778759,0.919944621340081,0.6759156281069316,1.7923286427213632,0.00037961668958008145,5.15505999557513,
9,PRUNED,1010331.2373884383,850,0.02450001073565503,3,6.908664112597582,0.7638141627093615,0.9053621624183225,3.1877873567760657,2.7293781650374753,0.10740155209032688,
