fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4817218.6658300385,5864113.360573507
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,3862138.879749803,4271950.155828547
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,2767032.385755201,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1381787.083589553,1451756.0903783268
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1658595.7484486455,1794346.8582585312
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1594583.67474636,1787759.7416903765
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2134033.8830723953,2335333.58303586
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2332609.2209442006,2497032.763110272
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2363775.839542185,2568801.7781345574
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2430394.4955970645,2568801.7781345574
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2424172.0505801076,2568801.7781345574
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,2336095.941799611,2497032.763110272
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2384213.258697379,2568801.7781345574
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2549953.244355774,2736735.418051512
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,2997663.4916240075,3286305.8243134576
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3063226.129531534,3369492.766956575
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2621426.320465237,2879774.183952063
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2576456.35721891,2736735.418051512
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2607155.584518254,2879774.183952063
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,2875010.7316637603,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,2895265.7778848973,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3500170.3682386805,4095997.792761796
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3288669.9990636986,3741079.070734803
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3088964.0143023366,3576076.745476739
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2855131.7181567363,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2615714.534578897,2879774.183952063
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,2903288.6912819804,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,2923165.2214537407,3181756.224794436
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,3827357.8009823994,4271950.155828547
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,3735331.9420681605,4271950.155828547
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,4611910.113242017,4815363.807451615
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,4868013.239526143,5916117.214321779
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,3690580.6663091816,4271950.155828547
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,3310168.5321215047,3752916.7608594135
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,2075505.6703377164,2335333.58303586
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,1765096.9623818614,1875032.0604808156
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,2342005.3146111127,2497032.763110272
