number,state,value,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mean_mae
0,COMPLETE,918953.6168480072,650,0.13125830316209655,8,12.374511199743695,0.7046065241548528,0.7045980821176709,0.2904180608409973,2.1423021757741068,0.3849583075868115,653438.6488393284
1,COMPLETE,976631.1293525292,950,0.010573268083515799,10,16.816410175208013,0.7243186887373967,0.7136387385224853,0.9170225492671691,0.0033205591037519565,0.18071456341395586,695077.0733044454
2,COMPLETE,1009187.4840778662,700,0.022004527434741072,7,3.6503833523887947,0.7522506269873264,0.7782266451527922,2.28034992108518,0.8431013932082461,0.007224419004573213,718211.4545733845
3,COMPLETE,1052266.9444309103,750,0.049743185797885274,3,12.54335218612733,0.7096834432905521,0.6727680575448478,4.7444276862666666,6.732248920775331,2.9987567784441875,754406.5824924571
4,COMPLETE,906437.4513138455,550,0.01302780710309028,8,9.362897381052425,0.6927133821956726,0.8233119185389446,0.17194260557609198,3.5204810455260365,0.01297240393071079,645287.0604861764
5,PRUNED,1013822.7727505385,900,0.02325951592241212,7,11.387495307522313,0.7146990594339345,0.9893546197175955,3.8756641168055728,4.9830438374949075,7.057961339161952,
6,PRUNED,963613.6235570766,850,0.12139707695554378,3,4.723674385963759,0.6658295511186884,0.7638656157671425,1.9433864484474102,0.002273762810253686,3.6679624869306977,
7,PRUNED,1018335.8051823534,600,0.02139954903017622,7,3.6775602745204905,0.9307689432639139,0.6760927252879199,4.9344346830025865,0.7264803074826727,0.007156194022692475,
8,PRUNED,973312.9047003911,300,0.09100328259258599,8,14.851136192778759,0.919944621340081,0.6759156281069316,1.7923286427213632,0.00037961668958008145,5.15505999557513,
9,PRUNED,1013614.5125528221,850,0.02450001073565503,3,6.908664112597582,0.7638141627093615,0.9053621624183225,3.1877873567760657,2.7293781650374753,0.10740155209032688,
10,COMPLETE,909558.877144875,1150,0.010163732690779375,5,8.18107944933885,0.8376660060442158,0.8625831023568437,0.07563407956692322,0.1168990811462345,0.0015989551666382284,650284.3200578679
11,COMPLETE,907950.7238290511,1200,0.010230628216563897,5,8.041880743010266,0.8374684924124215,0.8737119446359479,0.055108905097137055,0.08808748655228463,0.0010486463414370747,648861.1282677142
12,PRUNED,958931.1305989011,450,0.014772856542828158,5,19.731319765176664,0.8584666223646025,0.900430321512135,1.0507780511615645,0.05730109466726675,0.001031760499055013,
13,PRUNED,940127.5278282337,1200,0.04468202663765423,5,8.3410648498485,0.7959236129146252,0.8239138320776174,0.9369102116944656,0.24259683977710447,0.021551594821793474,
14,PRUNED,936311.3823683035,500,0.015303410193195949,10,1.168371368222247,0.9981011506651589,0.9605223329310485,0.18563220060518482,0.009997778181293323,0.005146677511985686,
