fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4.555076e+06,4616820.169549349
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,4.4357415e+06,4616820.169549349
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,1.4064696e+06,1484761.7239836813
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1.3804991e+06,1473138.4087905085
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1.5274379e+06,1508586.407932039
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1.7913421e+06,1830886.75700245
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2.1502195e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2.3173245e+06,2467364.927809135
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2.7909518e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2.760136e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2.0199598e+06,2010918.180835286
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,2.1224465e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2.4116892e+06,2488448.5215769983
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2.9427232e+06,2811326.151782102
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,3.1719322e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3.5589772e+06,3777619.785643489
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,3.148584e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2.13451e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,3.0802585e+06,3175758.114958865
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,2.5677858e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,3.1782635e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3.463667e+06,3777619.785643489
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3.9963175e+06,4027438.2114261365
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3.192368e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2.5400175e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2.1788628e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,2.7345018e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,3.0303812e+06,3080896.08271948
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,3.162608e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,4.401327e+06,4331888.585349898
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,4.1474638e+06,4289614.963550197
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,4.646459e+06,4616820.169549349
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,3.2148758e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,2.9915908e+06,3080896.08271948
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,1.5460162e+06,1633041.3417324163
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,1.9178344e+06,1965473.4353970974
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,2.6003418e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-07,3277756.91,1.8541549e+06,1834268.5211524237
fold1_2020H2-2021,2020-06-30,2020-08-08,2449651.51,1.0745485e+06,1145113.7313615968
fold1_2020H2-2021,2020-06-30,2020-08-09,2935305.67,1.4518605e+06,1484761.7578866645
fold1_2020H2-2021,2020-06-30,2020-08-10,2914723.92,2.1331078e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-08-11,2533038.45,2.0960954e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-08-12,4245177.97,1.7099936e+06,1830886.75700245
fold1_2020H2-2021,2020-06-30,2020-08-13,3438121.83,3.3296578e+06,3434013.914446715
fold1_2020H2-2021,2020-06-30,2020-08-14,3685522.51,2.5183148e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-15,2556409.43,1.9297432e+06,1965474.629994912
fold1_2020H2-2021,2020-06-30,2020-08-16,2596444.46,2.2893858e+06,2467364.927809135
fold1_2020H2-2021,2020-06-30,2020-08-17,3646382.12,2.223325e+06,2378514.7798603065
fold1_2020H2-2021,2020-06-30,2020-08-18,3240488.83,2.621899e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-19,3279887.27,2.8889918e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-20,3569013.59,3.2568595e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-08-21,3939388.46,3.2507992e+06,3272570.2229753663
fold1_2020H2-2021,2020-06-30,2020-08-22,2465099.71,2.0857721e+06,2270824.401034904
fold1_2020H2-2021,2020-06-30,2020-08-23,2832425.22,2.0506408e+06,2010918.180835286
fold1_2020H2-2021,2020-06-30,2020-08-24,3217603.07,2.5557948e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-25,2428315.18,1.9598594e+06,1965474.629994912
fold1_2020H2-2021,2020-06-30,2020-08-26,3194953.82,2.9102315e+06,2698821.5359207303
fold1_2020H2-2021,2020-06-30,2020-08-27,4445347.68,5.519048e+06,5637952.623465957
fold1_2020H2-2021,2020-06-30,2020-08-28,7296538.72,5.140292e+06,5637949.117660254
fold1_2020H2-2021,2020-06-30,2020-08-29,7517051.79,5.3243875e+06,5637952.623465957
fold1_2020H2-2021,2020-06-30,2020-08-30,8480394.59,5.553541e+06,5637952.623465957
fold1_2020H2-2021,2020-06-30,2020-08-31,7490849.71,5.240506e+06,5637952.623465957
fold1_2020H2-2021,2020-06-30,2020-09-01,6047477.92,2.2721652e+06,2467364.927809135
fold1_2020H2-2021,2020-06-30,2020-09-02,1434923.77,1.3970038e+06,1473138.4087905085
fold1_2020H2-2021,2020-06-30,2020-09-03,1557705.54,1.0370084e+06,1145113.7313615968
