number,state,value,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mean_mae
0,COMPLETE,885660.2050880721,650,0.13125830316209655,8,12.374511199743695,0.7046065241548528,0.7045980821176709,0.2904180608409973,2.1423021757741068,0.3849583075868115,646213.3691430622
1,COMPLETE,892307.9307303516,950,0.010573268083515799,10,16.816410175208013,0.7243186887373967,0.7136387385224853,0.9170225492671691,0.0033205591037519565,0.18071456341395586,653266.6652889979
2,COMPLETE,907639.1398307608,700,0.022004527434741072,7,3.6503833523887947,0.7522506269873264,0.7782266451527922,2.28034992108518,0.8431013932082461,0.007224419004573213,664978.8006911405
3,COMPLETE,954613.8791021546,750,0.049743185797885274,3,12.54335218612733,0.7096834432905521,0.6727680575448478,4.7444276862666666,6.732248920775331,2.9987567784441875,699605.1505489933
4,COMPLETE,893622.1025748319,550,0.01302780710309028,8,9.362897381052425,0.6927133821956726,0.8233119185389446,0.17194260557609198,3.5204810455260365,0.01297240393071079,650367.9644438041
5,PRUNED,902999.1371296865,900,0.02325951592241212,7,11.387495307522313,0.7146990594339345,0.9893546197175955,3.8756641168055728,4.9830438374949075,7.057961339161952,
6,COMPLETE,906448.9058055836,850,0.12139707695554378,3,4.723674385963759,0.6658295511186884,0.7638656157671425,1.9433864484474102,0.002273762810253686,3.6679624869306977,667265.5609963113
7,PRUNED,881190.6641834432,600,0.02139954903017622,7,3.6775602745204905,0.9307689432639139,0.6760927252879199,4.9344346830025865,0.7264803074826727,0.007156194022692475,
8,COMPLETE,895116.1313759615,300,0.09100328259258599,8,14.851136192778759,0.919944621340081,0.6759156281069316,1.7923286427213632,0.00037961668958008145,5.15505999557513,656445.7815930458
9,PRUNED,880288.6154388437,850,0.02450001073565503,3,6.908664112597582,0.7638141627093615,0.9053621624183225,3.1877873567760657,2.7293781650374753,0.10740155209032688,
10,COMPLETE,854758.0132217859,1150,0.06379790025577511,5,18.713516496323955,0.8324690041519454,0.8915864757492008,0.0757211855137844,0.1308828047551014,0.28440909527242897,629092.558464618
11,COMPLETE,858953.080987747,1200,0.06688236523419346,5,19.26543665742584,0.8463173456354903,0.8959447314652995,0.055111967492394796,0.07352836149311404,0.350629995458579,630951.902912065
12,PRUNED,860830.0510593178,1200,0.057489180054056295,5,19.97646483898549,0.8341087539190195,0.9012110936194965,1.0590534501244653,0.05237931589777322,0.5188152644480625,
13,COMPLETE,889327.2670742441,1200,0.05829804560321546,5,19.987886334189472,0.8514932922648835,0.9010051071522021,0.9369114519510555,0.09423453505461607,0.04849506640900782,649924.6702793207
14,COMPLETE,883050.5903097574,1050,0.07975825388631592,5,16.926249799452897,0.998418568051163,0.965136165431338,0.18598393457143603,0.17751356459295228,0.924559714987989,643601.9671062579
15,PRUNED,864743.4274289652,1100,0.037574193988522686,4,17.185275200394948,0.7921866883932299,0.857706756163223,1.384134164337992,0.007223094904476122,0.05243434664597611,
16,PRUNED,880473.3899342724,1050,0.03580560325153633,6,14.526128169359069,0.8792624337108617,0.9391990130157436,2.9720903660630578,0.021964531919506453,0.0011394209395267588,
17,COMPLETE,863467.6760311316,1200,0.08274466909178527,4,18.404953329713166,0.8083365296104618,0.8493494303132897,0.7188817401358486,0.3871211420384551,17.95201243715499,630782.8510544328
18,PRUNED,866441.8606368436,450,0.04554178661674433,6,1.0745188763124176,0.8811310102609079,0.8074311431488552,0.017543635740679346,0.01930510391688307,1.2523643163746574,
19,PRUNED,869337.4603089732,1000,0.06876902546680518,4,14.442338653217803,0.9340274074334456,0.859133034272659,1.6684365425429493,0.000704543231366994,0.2069765073583815,
20,PRUNED,875084.0352156046,1100,0.10436989371051046,10,8.7611889362772,0.8675541811321776,0.9373868831725845,0.5455391108229123,0.00011431541785080484,0.031085653689132235,
21,COMPLETE,864557.1991418903,1200,0.07408182028298872,4,18.5429091725978,0.8047998388439289,0.8686011355696135,0.6631230303179442,0.2524411591228962,11.478875608758601,629761.2907555996
22,COMPLETE,886975.435516172,1150,0.092768070412329,5,18.13584884965816,0.8075528787097489,0.8678650852346564,1.2240145481162046,0.4386274577453544,14.915322497534735,649661.5339175711
23,PRUNED,868411.6786242012,1100,0.1431612154278977,4,15.37409323216687,0.83351129016506,0.7881736024299272,0.5263828769685003,0.10314915709885215,1.7000163445860237,
24,COMPLETE,884119.8576822123,1000,0.030682133911572644,6,18.65446993116211,0.7758740195347867,0.8434430521736495,0.6489007361752723,0.04592125429517004,0.501296241979385,649736.0549353329
25,PRUNED,863752.6231383309,1200,0.06483214864681905,5,15.949625753877815,0.8959262486349066,0.9376522132694116,0.06948779089508372,0.012525553471123574,0.0010874700988874302,
26,PRUNED,856149.4679439273,1100,0.04899409818367561,4,13.384371840401172,0.8253478858504271,0.890749309882867,1.45833212546373,1.0535059344366577,0.12777174865594582,
27,PRUNED,895348.1506671464,950,0.11356409631863294,6,19.00975602820101,0.8526119291679854,0.819063223284695,2.508889951530513,0.31544629421439463,0.01956840936629622,
28,COMPLETE,856825.1939778101,1150,0.08248020649125769,3,17.704428816541135,0.7457498440800124,0.7426510199316377,0.525596016806265,0.08798972705600501,2.218689395271757,624306.5430678487
29,COMPLETE,863854.6380971436,800,0.1004176936860155,3,16.632249615640628,0.7390647120529201,0.7338044700371558,0.4061012647019663,0.09811572623482187,0.38164120130977064,628712.7449805957
30,PRUNED,915485.7731627482,1050,0.05683534204211262,9,13.330283660009776,0.9690922071550528,0.7101557660238931,0.007094114466363197,0.007240219229336822,2.5477209064265858,
31,COMPLETE,872807.9110166674,1150,0.08204742446115049,4,18.21591430364943,0.7877652953245505,0.8837297978377673,0.8706359913903341,0.046287458713523584,7.4441303656227955,636003.6184065965
32,COMPLETE,858133.9545481085,1150,0.07110304391411715,3,17.468744458151498,0.8060370388101324,0.8392343129781243,0.4090166354699315,1.5297052557064175,19.97298198177943,624251.3725773593
33,COMPLETE,861055.3496576116,950,0.04161453071730266,3,17.52409092643028,0.7463269942947083,0.7625386943848482,0.3794251822978418,1.1585149714670564,0.2518853341196301,624473.143650448
34,COMPLETE,880300.7186749097,1150,0.06586818446732173,3,16.341029646148396,0.7684654973085632,0.7348959796144051,1.1217123591920204,0.14460251423202658,0.7403568837172203,641292.4982943501
35,COMPLETE,882916.3814124436,1000,0.13063782583649125,5,19.701407033106243,0.6943873102738235,0.7921484073222036,0.3631237031231537,2.09734139068325,0.0800338119436427,641644.6955018798
36,PRUNED,931716.4817896856,1150,0.051984324497423066,3,10.918976826915195,0.7304519211302817,0.9185892805378897,4.268381767504691,8.285101385827327,2.0826430632400394,
37,PRUNED,861441.5180090261,900,0.06984789203288944,3,17.773636209494285,0.6506657758731152,0.8340840516008794,2.3457751609171824,0.5613165873130973,0.3054161894238551,
38,PRUNED,863148.8414296671,700,0.1074150209076035,9,12.03264945766533,0.9012145087122231,0.9609203066838302,0.8077325482644705,0.003018433671362644,4.4225582862225385,
39,COMPLETE,877492.7778283306,1050,0.03106367178935144,7,15.331866699248046,0.8490714264353634,0.8161513366291155,0.32837522890087173,1.5124583697614664,9.39261168447609,641633.7644208648
40,COMPLETE,898442.3797900891,300,0.016499009006607834,4,9.851100392646119,0.755610004157576,0.6593276294040085,1.5620609494921034,0.20999102589150426,1.0062636918611085,654611.0575376317
41,COMPLETE,857408.549641193,950,0.04186032518422449,3,17.36700666170692,0.7471531187520102,0.7626008622940397,0.33795832481024074,0.9030205202764363,0.22893726346019624,625469.0095299799
42,COMPLETE,862442.8940997231,1150,0.0546423154019467,3,19.171513706022193,0.7112413795987225,0.7523199936310964,0.2026400333651852,3.6497737037641387,0.616486500626184,626211.2229375328
43,COMPLETE,899950.1766438774,1100,0.0433109888748014,3,15.891455539915151,0.6774204433198666,0.7388419661346578,2.0033947723926224,0.7514800433939871,0.1646708143468405,656709.9097261855
44,COMPLETE,882581.9902884719,1000,0.061287771641050946,4,13.31598244922781,0.7831589044148816,0.6939592210167854,0.9527056483923074,0.06243031734182779,0.08133827330924179,642851.5567814457
45,COMPLETE,863249.9138211901,900,0.09153761324786784,5,17.08997401243387,0.8161589727246258,0.7862771279690439,0.2695124422304179,0.027393719488006174,1.4216158809129749,635859.2257735942
46,COMPLETE,880265.4056837392,800,0.07741587428717525,3,19.392336354347847,0.7314156649805371,0.9215942408228383,0.5360407462590306,4.438483594830531,3.122928590104849,643136.2497306352
47,COMPLETE,891689.5266264435,1200,0.0330440443131462,3,6.8705740358321155,0.7956722556637539,0.8035257537907073,1.2203492997583345,1.5118725771847998,0.38005846765263285,648330.6809629215
48,PRUNED,879348.1105307499,1050,0.04923199094278449,6,17.560375108841757,0.8448990043531706,0.879982544493721,3.504788809508366,0.1368742016485922,0.003063984895394016,
49,COMPLETE,850901.027495304,1150,0.027252409752096106,4,13.942642682752806,0.8657818209451603,0.7203017080531933,0.006122633792623067,0.014041670966351881,0.04809934957874723,621145.0081490631
