fold,train_end,Date,actual_revenue,prediction_raw,prediction_calibrated
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4812181.742751502,5292724.537194468
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,3929092.196935367,4458831.089282881
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,2388590.136552311,2585166.0904010353
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1385334.5845667426,1631376.1318544543
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1816159.6617943665,1960963.0383073355
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1562096.1552205405,1822270.7712828093
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2218810.748857079,2419333.423282523
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2256849.088725822,2521716.078022009
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2571948.8199870135,2875159.1104938416
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2328620.0225031693,2552210.7581558023
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2375805.3269767025,2566422.7578724376
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,2365130.8397504087,2552210.7581558023
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2761680.4380689547,3209195.9425175944
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2823577.65938101,3209195.9425175944
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,3231068.572500881,3522206.129171569
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3186776.665609224,3522206.129171569
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2556982.383108143,2875159.1104938416
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2529039.0457249684,2875159.1104938416
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2644972.2554571056,3209195.9425175944
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,3082126.9882643595,3468559.3509387868
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,3081874.9349558027,3468559.3509387868
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3591511.719476193,4241104.065409809
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3403798.9675898585,4241104.065409809
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3002423.7392178196,3379413.6959044514
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2701922.4025840606,3209195.9425175944
